Transaction Amount,Transaction Country,Transaction Currency,Transaction Time,Transaction Day,Card Issuer,Card Type,Online Purchase,First Purchase,Customer Age,Account Age,Fraudulent
7271,US,AUD,1,Weekday,MasterCard,Credit,1,0,39,10,0
861,US,AUD,8,Weekend,Discover,Credit,1,0,57,5,0
5391,US,CAD,12,Weekend,Visa,Credit,1,0,66,0,0
5192,US,USD,5,Weekend,Amex,Credit,0,0,68,10,0
5735,CA,CAD,3,Weekend,MasterCard,Credit,1,0,41,6,0
6266,CA,CAD,13,Weekend,Visa,Credit,1,0,51,3,0
467,Other,USD,10,Weekday,MasterCard,Credit,1,0,26,4,0
4427,CA,CAD,1,Weekday,MasterCard,Credit,1,0,19,6,0
5579,US,CAD,2,Weekday,Discover,Debit,1,0,62,2,0
8323,AU,AUD,4,Weekend,Visa,Credit,0,0,42,1,0
1686,AU,AUD,6,Weekday,Amex,Credit,1,1,29,10,0
770,UK,CAD,10,Weekend,Visa,Debit,0,0,21,0,0
6950,UK,USD,11,Weekend,Discover,Debit,1,1,68,7,1
2434,CA,AUD,10,Weekend,Amex,Credit,1,0,57,7,0
5312,AU,CAD,18,Weekday,Visa,Debit,1,0,30,6,0
5052,US,GBP,12,Weekday,Discover,Credit,1,0,46,9,0
6421,US,GBP,3,Weekday,Amex,Debit,1,0,49,8,0
1185,US,CAD,13,Weekday,Amex,Debit,1,0,44,9,0
4556,CA,GBP,11,Weekend,MasterCard,Debit,1,0,47,10,0
3386,CA,AUD,1,Weekend,MasterCard,Credit,0,0,63,0,0
6397,Other,USD,7,Weekend,Discover,Debit,0,1,56,2,0
8667,US,CAD,21,Weekend,Amex,Debit,1,0,18,4,0
9275,US,AUD,18,Weekend,Visa,Debit,0,0,28,1,0
2559,CA,USD,12,Weekday,Amex,Debit,0,0,40,6,0
7850,CA,GBP,20,Weekday,Discover,Debit,1,0,66,11,0
2048,Other,GBP,20,Weekend,Visa,Debit,1,0,34,5,0
2748,Other,GBP,0,Weekend,Amex,Credit,1,0,32,11,0
9168,UK,GBP,4,Weekend,Visa,Credit,1,0,44,10,0
9999,AU,AUD,21,Weekend,MasterCard,Credit,0,0,70,9,0
190,US,AUD,10,Weekend,Visa,Debit,1,1,27,1,0
2735,US,USD,10,Weekday,MasterCard,Debit,1,0,33,7,0
3006,Other,CAD,12,Weekend,Visa,Debit,0,1,54,2,0
4659,Other,USD,1,Weekday,MasterCard,Credit,1,1,45,3,1
1900,UK,CAD,18,Weekday,Discover,Debit,1,0,19,4,0
7735,AU,GBP,15,Weekend,Visa,Debit,1,0,56,5,0
1268,UK,GBP,4,Weekend,Amex,Debit,1,1,52,11,1
1529,AU,GBP,13,Weekday,Discover,Debit,1,0,32,8,0
3557,US,GBP,18,Weekday,Discover,Debit,1,1,28,11,0
3891,UK,AUD,4,Weekday,Visa,Debit,0,0,50,8,0
8839,Other,USD,20,Weekend,Discover,Credit,1,0,33,8,0
5394,UK,CAD,23,Weekday,MasterCard,Credit,0,0,28,7,0
8793,UK,CAD,8,Weekend,MasterCard,Credit,1,0,37,4,0
8434,US,AUD,23,Weekday,Visa,Debit,1,0,69,4,0
7514,Other,GBP,11,Weekend,Discover,Credit,1,0,36,3,0
2613,Other,USD,15,Weekend,Amex,Debit,1,0,56,6,0
7042,CA,GBP,18,Weekday,Visa,Debit,0,0,67,10,0
9556,CA,AUD,14,Weekend,Visa,Credit,1,0,40,3,0
6236,CA,CAD,16,Weekend,Discover,Debit,0,0,27,4,0
5487,US,AUD,14,Weekday,MasterCard,Credit,0,1,25,8,0
7100,UK,CAD,2,Weekend,Discover,Credit,1,0,19,6,0
9671,Other,USD,16,Weekday,Amex,Credit,1,0,24,8,1
776,Other,CAD,12,Weekday,Amex,Debit,1,0,43,7,0
8227,UK,USD,8,Weekday,Amex,Debit,0,1,57,10,0
3153,Other,GBP,12,Weekend,Amex,Debit,1,0,36,11,0
1586,UK,GBP,15,Weekend,Visa,Credit,0,0,23,2,0
3944,US,AUD,18,Weekday,Amex,Credit,0,0,50,2,0
7556,US,USD,13,Weekend,Amex,Credit,1,0,28,11,0
3074,US,GBP,7,Weekday,Amex,Debit,0,0,69,1,0
1022,UK,USD,21,Weekday,Discover,Debit,0,0,53,11,0
3844,UK,GBP,18,Weekday,MasterCard,Debit,1,1,29,2,0
7990,AU,GBP,23,Weekend,MasterCard,Debit,0,0,45,9,0
9693,Other,CAD,2,Weekend,MasterCard,Credit,0,1,26,2,1
6874,Other,AUD,22,Weekend,Amex,Debit,1,0,40,2,0
5676,AU,CAD,20,Weekday,Discover,Debit,1,0,57,10,0
162,AU,USD,17,Weekday,Visa,Credit,1,0,23,5,0
4298,US,GBP,15,Weekend,Discover,Debit,0,1,67,8,0
996,AU,AUD,13,Weekend,Visa,Debit,1,0,36,11,0
7630,UK,GBP,15,Weekday,Discover,Credit,1,0,37,12,0
9468,CA,GBP,23,Weekday,MasterCard,Debit,0,0,35,6,0
1017,UK,CAD,16,Weekday,MasterCard,Credit,1,0,44,6,0
7870,AU,USD,19,Weekday,Amex,Debit,1,0,50,6,0
6440,Other,AUD,10,Weekend,MasterCard,Credit,1,1,46,0,1
7893,UK,AUD,12,Weekend,MasterCard,Debit,1,0,26,3,0
6864,Other,AUD,10,Weekday,MasterCard,Credit,1,0,62,8,0
7917,UK,USD,3,Weekday,Discover,Debit,1,0,61,3,0
8530,Other,AUD,13,Weekend,MasterCard,Debit,0,0,67,6,0
879,UK,USD,4,Weekday,Visa,Credit,0,1,44,1,0
9269,Other,AUD,3,Weekday,Amex,Credit,1,0,70,5,1
4888,CA,GBP,0,Weekend,Discover,Credit,1,1,56,4,0
4860,US,USD,13,Weekend,Visa,Debit,1,1,28,9,0
6332,UK,CAD,6,Weekend,Discover,Credit,0,1,67,1,0
8572,CA,AUD,9,Weekday,MasterCard,Debit,1,0,59,11,0
8685,US,CAD,1,Weekday,Discover,Credit,0,1,25,10,0
7209,UK,USD,9,Weekend,Discover,Debit,1,1,31,2,1
5277,CA,GBP,2,Weekend,Amex,Debit,1,0,63,2,0
2063,CA,CAD,20,Weekday,Discover,Credit,1,0,30,2,0
65,CA,CAD,7,Weekday,Discover,Debit,0,0,24,4,0
8007,AU,GBP,9,Weekday,Amex,Credit,0,1,32,9,1
2569,Other,GBP,7,Weekend,Discover,Credit,1,0,55,8,0
5464,US,USD,13,Weekend,Discover,Credit,1,0,61,12,0
2028,Other,AUD,17,Weekday,Visa,Debit,0,0,60,6,0
2696,Other,CAD,8,Weekend,Visa,Debit,1,0,35,5,0
9688,Other,CAD,21,Weekend,Discover,Debit,1,0,53,3,0
5259,CA,USD,8,Weekend,Discover,Debit,0,0,48,12,0
5619,Other,AUD,3,Weekday,MasterCard,Credit,0,0,21,4,0
6737,AU,USD,2,Weekday,Visa,Debit,1,1,30,5,0
392,UK,CAD,13,Weekend,MasterCard,Credit,0,0,56,11,0
5893,CA,CAD,13,Weekday,Discover,Debit,0,1,47,7,0
3562,US,GBP,20,Weekend,MasterCard,Debit,1,0,36,8,0
6185,UK,GBP,15,Weekend,MasterCard,Debit,1,0,21,1,0
3100,UK,AUD,4,Weekday,Amex,Debit,1,1,18,7,0
6279,UK,CAD,19,Weekend,Amex,Credit,0,0,57,7,0
8393,Other,CAD,22,Weekend,Discover,Debit,1,0,49,12,0
3105,Other,GBP,23,Weekend,Visa,Credit,1,0,29,6,0
7216,CA,USD,14,Weekend,Discover,Credit,0,0,29,3,0
2455,Other,USD,20,Weekend,Visa,Debit,1,1,37,11,1
8997,Other,CAD,8,Weekend,Amex,Debit,1,0,28,8,0
2732,Other,CAD,6,Weekday,Visa,Credit,0,0,70,6,0
8155,CA,AUD,12,Weekend,MasterCard,Debit,0,0,70,4,0
9763,CA,AUD,22,Weekday,MasterCard,Debit,1,0,66,3,0
5057,AU,GBP,7,Weekday,Amex,Credit,0,0,47,5,0
8111,AU,CAD,11,Weekday,Discover,Debit,1,0,66,5,0
3841,AU,USD,3,Weekday,Visa,Debit,1,0,61,8,0
1029,AU,AUD,15,Weekday,Discover,Debit,1,0,48,6,0
7386,UK,GBP,5,Weekend,Visa,Credit,0,0,45,0,0
503,UK,GBP,4,Weekend,Amex,Credit,1,0,61,3,0
6911,AU,USD,0,Weekday,MasterCard,Credit,1,0,66,3,0
9063,AU,AUD,13,Weekend,MasterCard,Debit,0,0,46,4,0
6939,US,USD,8,Weekday,Visa,Debit,1,0,58,4,0
4489,UK,GBP,17,Weekend,Discover,Credit,1,1,39,9,1
207,US,CAD,5,Weekday,Amex,Debit,0,0,62,3,0
5135,US,USD,14,Weekday,Amex,Credit,0,0,66,2,0
5978,Other,GBP,15,Weekday,Discover,Credit,0,0,46,5,0
7722,CA,CAD,7,Weekend,MasterCard,Debit,1,1,18,10,1
7036,UK,CAD,18,Weekend,Discover,Credit,1,0,38,1,0
1485,AU,AUD,4,Weekday,MasterCard,Debit,0,0,48,11,0
7859,AU,AUD,13,Weekday,Visa,Debit,1,1,44,8,1
864,CA,GBP,6,Weekend,Amex,Debit,0,0,52,5,0
2791,UK,USD,3,Weekend,Visa,Credit,1,0,25,10,0
7409,AU,CAD,20,Weekday,Discover,Debit,0,1,57,4,0
8756,AU,AUD,0,Weekday,Discover,Debit,0,0,25,2,0
5117,Other,AUD,3,Weekday,Visa,Debit,1,0,23,3,0
6020,US,USD,13,Weekend,Discover,Debit,1,0,32,5,0
1758,AU,AUD,22,Weekday,Discover,Credit,1,0,38,2,0
7575,UK,GBP,15,Weekend,Discover,Credit,1,0,54,9,0
6375,CA,USD,6,Weekend,Amex,Debit,1,0,23,6,0
